	EN	RU_prof	RU_stud	RU_mt	HR_prof	HR_stud	HR_mt	FI_prof	FI_stud
acl	105	73	86	203	232	220	223	84	78
advcl	322	265	248	319	248	251	243	296	306
advmod	1075	1029	1086	993	1014	1086	1009	1015	995
amod	783	806	846	855	901	871	893	552	545
appos	51	35	33	37	21	25	19	42	41
aux	446	55	45	99	751	730	710	512	506
case	1059	1037	1101	997	1026	989	946	124	147
cc	551	537	512	520	604	581	551	514	533
ccomp	121	104	112	119	156	173	176	123	130
conj	593	687	683	663	677	676	640	631	648
cop	447	81	88	97	456	466	459	424	473
csubj	18	108	104	67	34	41	31	2	0
det	1290	513	471	494	381	375	384	292	329
discourse	21	4	4	6	117	138	102	15	18
fixed	44	144	139	140	66	74	57	9	18
mark	596	421	404	482	419	439	418	345	365
nmod	337	632	671	620	674	600	660	143	151
nsubj	1404	1234	1252	1341	837	880	856	496	523
nummod	182	148	162	245	172	174	176	133	132
obj	914	607	601	645	894	897	862	799	843
obl	651	1033	1093	1018	653	665	592	748	764
parataxis	134	138	130	122	51	56	58	30	34
punct	1582	2529	2425	2599	1599	1619	1660	1825	1960
root	1023	1043	1003	1010	1028	1014	1019	1094	1100
xcomp	249	173	172	187	293	282	289	192	192
