	EN	RU_prof	RU_stud	HR_prof	HR_stud
ADJ	1109	1236	1233	1798	1718
ADP	1890	1969	1932	1693	1671
ADV	507	520	513	613	615
AUX	834	180	171	1290	1272
CCONJ	445	464	442	544	534
DET	1456	403	366	596	639
INTJ	5	2	0	4	5
NOUN	3152	4179	4242	3861	3735
NUM	341	355	359	254	238
PART	461	205	254	84	94
PRON	964	823	704	457	489
PROPN	1892	1523	1473	1285	1284
PUNCT	1937	2843	2744	1690	1826
SCONJ	335	472	390	577	587
SYM	30	6	18	4	7
VERB	2009	2037	1958	1611	1692
X	1	0	3	130	108
