lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexvar	lemvar	posvar	richposvar	sentlgth	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	_
hr	prof	review_sports+outdoors_22_5.hr.conllu	0	1	0	1	0	0	0	1	0	1	0	0	1	2	2	0	0	0	0	0	0	1	0	0	0	0.838	0.77	0.176	0.425	74	8	4	9	6	3	2	0	12	4	0	4	3	7	2	0	10	0	0
hr	prof	review_sports+outdoors_29_4.hr.conllu	1	2	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0.773	0.72	0.16	0.435	75	2	6	4	4	5	2	0	16	1	0	7	0	6	6	0	16	0	0
hr	prof	review_sports+outdoors_2_5.hr.conllu	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0.641	0.594	0.203	0.321	64	8	2	5	8	5	3	0	4	3	0	1	2	8	7	0	8	0	0
hr	prof	review_sports+outdoors_36_5.hr.conllu	1	4	0	2	1	2	0	1	0	3	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0.766	0.681	0.149	0.398	94	10	9	7	10	5	3	0	17	2	2	1	2	12	2	0	12	0	0
hr	prof	review_sports+outdoors_3_4.hr.conllu	0	3	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.702	0.667	0.246	0.441	57	4	7	3	3	2	2	0	13	2	1	3	1	7	2	0	7	0	0
hr	prof	review_sports+outdoors_40_1.hr.conllu	3	0	0	4	1	0	1	1	3	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0.787	0.681	0.149	0.386	94	14	6	7	7	6	3	0	18	2	1	3	1	11	3	0	12	0	0
hr	prof	review_sports+outdoors_43_2.hr.conllu	1	1	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.814	0.746	0.19	0.408	58	2	5	4	4	4	0	0	11	0	0	4	1	5	4	0	14	0	0
hr	prof	review_sports+outdoors_5_4.hr.conllu	1	3	0	0	0	2	2	0	1	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0.689	0.623	0.213	0.364	61	6	5	5	5	4	3	0	10	0	2	1	2	6	5	0	7	0	0
hr	prof	review_sports+outdoors_6_5.hr.conllu	0	4	0	1	0	2	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0.691	0.617	0.138	0.404	94	8	11	7	9	4	7	0	21	0	1	4	3	7	4	0	8	0	0
hr	prof	review_toys-and-games_15_5.hr.conllu	0	2	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0.774	0.651	0.123	0.364	106	2	10	5	10	5	6	0	19	2	0	5	3	14	4	0	21	0	0
