lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexical variety	lemma variety	POS variety	richPOS variety	length	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	_
ru	stud	review_sports+outdoors_43_2.conllu	1	1	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0.746	0.644	0.186	0.443	60	2	3	1	0	2	0	0	14	2	1	7	0	11	4	0	12	0	0
ru	stud	review_sports+outdoors_5_4.conllu	3	2	0	0	0	1	3	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0.683	0.651	0.19	0.405	63	9	2	3	0	1	2	0	12	0	5	7	1	10	4	0	7	0	0
ru	stud	review_sports+outdoors_6_5.conllu	2	3	0	1	1	1	0	2	1	1	0	1	0	2	0	2	0	0	1	0	1	0	2	1	0	0.716	0.67	0.125	0.308	91	6	9	7	0	4	6	0	18	0	0	7	4	13	3	0	11	0	0
ru	stud	review_toys-and-games_15_5.conllu	1	1	3	1	1	1	0	1	0	0	0	2	2	1	0	0	0	0	0	1	0	0	0	1	1	0.684	0.593	0.115	0.303	114	7	10	10	2	5	3	0	16	0	2	16	5	20	3	0	14	0	0
ru	stud	review_toys-and-games_166_1.conllu	2	1	0	0	0	1	0	1	3	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0.775	0.634	0.183	0.353	72	6	8	5	1	3	4	0	12	1	3	4	0	15	1	0	8	0	0
ru	stud	review_toys-and-games_187_1.conllu	4	0	0	2	0	1	0	0	2	1	1	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0.682	0.625	0.148	0.318	89	13	6	5	1	2	1	0	11	1	5	9	0	24	3	0	7	0	0
ru	stud	review_toys-and-games_21_5.conllu	2	1	1	0	3	1	2	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0.831	0.759	0.157	0.427	86	6	6	5	1	4	1	0	19	1	1	9	0	14	3	0	13	0	0
ru	stud	review_toys-and-games_23_5.conllu	1	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	3	0	1	0	1	0	0	0.843	0.804	0.216	0.478	55	4	4	3	0	3	2	0	11	0	1	5	0	7	2	0	9	0	0
ru	stud	review_toys-and-games_24_5.conllu	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0.867	0.822	0.222	0.483	46	2	3	7	0	0	4	0	5	0	2	6	0	7	1	0	8	0	0
ru	stud	review_toys-and-games_254_2.conllu	1	2	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.773	0.773	0.25	0.41	45	3	4	3	0	3	1	0	14	0	1	2	0	7	2	0	4	0	0
