textid	register	transl-id	status	study	studyyear	experience	age	nativelang	gender
cnn.304478	news	st09	stud	MA	2	2	24	HR	f
reuters.218911	news	st09	stud	MA	2	2	24	HR	f
review_books_18_4	review	st09	stud	MA	2	2	24	HR	f
review_grocery+gourmet-food_16_4	review	st09	stud	MA	2	2	24	HR	f
review_health+care_4_4	review	st09	stud	MA	2	2	24	HR	f
review_musical-instruments_24_5	review	st09	stud	MA	2	2	24	HR	f
review_patio+lawn+garden_161_2	review	st09	stud	MA	2	2	24	HR	f
review_pet_supplies_36_5	review	st09	stud	MA	2	2	24	HR	f
review_sports+outdoors_2_5	review	st09	stud	MA	2	2	24	HR	f
review_toys-and-games_5_4	review	st09	stud	MA	2	2	24	HR	f
review_video-games_54_1	review	st09	stud	MA	2	2	24	HR	f
upi.176275	news	st09	stud	MA	2	2	24	HR	f
bbc.381701	news	st10	stud	MA	2	3.5	23	HR	f
cnn.304489	news	st10	stud	MA	2	3.5	23	HR	f
reuters.218921	news	st10	stud	MA	2	3.5	23	HR	f
review_beauty_12_4	review	st10	stud	MA	2	3.5	23	HR	f
review_books_19_4	review	st10	stud	MA	2	3.5	23	HR	f
review_cd+vinyl_7_5	review	st10	stud	MA	2	3.5	23	HR	f
review_cell-phones+accessories_4_4	review	st10	stud	MA	2	3.5	23	HR	f
review_grocery+gourmet-food_167_2	review	st10	stud	MA	2	3.5	23	HR	f
review_health+care_53_1	review	st10	stud	MA	2	3.5	23	HR	f
review_movies+TV_187_1	review	st10	stud	MA	2	3.5	23	HR	f
review_musical-instruments_25_5	review	st10	stud	MA	2	3.5	23	HR	f
review_patio+lawn+garden_181_2	review	st10	stud	MA	2	3.5	23	HR	f
review_pet_supplies_38_5	review	st10	stud	MA	2	3.5	23	HR	f
review_sports+outdoors_29_4	review	st10	stud	MA	2	3.5	23	HR	f
review_toys-and-games_24_5	review	st10	stud	MA	2	3.5	23	HR	f
review_video-games_41_1	review	st10	stud	MA	2	3.5	23	HR	f
bbc.381780	news	st11	stud	MA	1	1.5	23	HR	m
cnn.385761	news	st11	stud	MA	1	1.5	23	HR	m
reuters.218933	news	st11	stud	MA	1	1.5	23	HR	m
review_beauty_14_5	review	st11	stud	MA	1	1.5	23	HR	m
review_books_233_1	review	st11	stud	MA	1	1.5	23	HR	m
review_cd+vinyl_8_5	review	st11	stud	MA	1	1.5	23	HR	m
review_grocery+gourmet-food_175_2	review	st11	stud	MA	1	1.5	23	HR	m
review_health+care_6_5	review	st11	stud	MA	1	1.5	23	HR	m
review_movies+TV_252_1	review	st11	stud	MA	1	1.5	23	HR	m
review_patio+lawn+garden_392_1	review	st11	stud	MA	1	1.5	23	HR	m
bbc.381735	news	st12	stud	MA	1	0	22	HR	m
reuters.276702	news	st12	stud	MA	1	0	22	HR	m
review_beauty_17_5	review	st12	stud	MA	1	0	22	HR	m
review_books_268_2	review	st12	stud	MA	1	0	22	HR	m
review_cell-phones+accessories_102_1	review	st12	stud	MA	1	0	22	HR	m
review_grocery+gourmet-food_18_5	review	st12	stud	MA	1	0	22	HR	m
review_health+care_84_1	review	st12	stud	MA	1	0	22	HR	m
review_movies+TV_20_5	review	st12	stud	MA	1	0	22	HR	m
review_musical-instruments_287_2	review	st12	stud	MA	1	0	22	HR	m
review_patio+lawn+garden_19_5	review	st12	stud	MA	1	0	22	HR	m
review_pet_supplies_46_4	review	st12	stud	MA	1	0	22	HR	m
review_sports+outdoors_3_4	review	st12	stud	MA	1	0	22	HR	m
review_toys-and-games_587_1	review	st12	stud	MA	1	0	22	HR	m
review_video-games_40_1	review	st12	stud	MA	1	0	22	HR	m
bbc.381736	news	st13	stud	MA	2	4	22	HR	f
dailymail.co.uk.298602	news	st13	stud	MA	2	4	22	HR	f
review_beauty_18_5	review	st13	stud	MA	2	4	22	HR	f
review_cell-phones+accessories_105_2	review	st13	stud	MA	2	4	22	HR	f
review_grocery+gourmet-food_20_4	review	st13	stud	MA	2	4	22	HR	f
review_health+care_8_5	review	st13	stud	MA	2	4	22	HR	f
review_movies+TV_22_5	review	st13	stud	MA	2	4	22	HR	f
review_musical-instruments_3_5	review	st13	stud	MA	2	4	22	HR	f
review_patio+lawn+garden_247_1	review	st13	stud	MA	2	4	22	HR	f
review_pet_supplies_48_5	review	st13	stud	MA	2	4	22	HR	f
review_sports+outdoors_36_5	review	st13	stud	MA	2	4	22	HR	f
review_toys-and-games_615_2	review	st13	stud	MA	2	4	22	HR	f
review_video-games_33_5	review	st13	stud	MA	2	4	22	HR	f
rt.com.91337	news	st13	stud	MA	2	4	22	HR	f
bbc.381760	news	st14	stud	MA	2	1	22	HR	f
dailymail.co.uk.298630	news	st14	stud	MA	2	1	22	HR	f
review_beauty_21_5	review	st14	stud	MA	2	1	22	HR	f
review_books_311_1	review	st14	stud	MA	2	1	22	HR	f
review_cd+vinyl_25_5	review	st14	stud	MA	2	1	22	HR	f
review_cell-phones+accessories_117_1	review	st14	stud	MA	2	1	22	HR	f
review_grocery+gourmet-food_340_1	review	st14	stud	MA	2	1	22	HR	f
review_home+kitchen_10_5	review	st14	stud	MA	2	1	22	HR	f
