lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexvar	lemvar	posvar	richposvar	sentlgth
hr	mt	OnlineB_review_cd+vinyl_113_2.conllu	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0.677	0.629	0.194	0.338	62
hr	mt	OnlineB_review_cd+vinyl_12_5.conllu	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.891	0.818	0.236	0.529	55
hr	mt	OnlineB_review_cd+vinyl_152_2.conllu	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.804	0.732	0.232	0.427	57
hr	mt	OnlineB_review_cd+vinyl_156_2.conllu	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.836	0.745	0.218	0.486	56
hr	mt	OnlineB_review_cd+vinyl_159_2.conllu	2	0	2	0	1	0	1	2	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0.845	0.784	0.144	0.403	97
hr	mt	OnlineB_review_cd+vinyl_164_1.conllu	2	1	0	0	0	1	1	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0.898	0.733	0.186	0.541	59
hr	mt	OnlineB_review_cd+vinyl_16_5.conllu	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0.648	0.602	0.159	0.333	88
hr	mt	OnlineB_review_cd+vinyl_17_5.conllu	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0.837	0.796	0.245	0.55	49
hr	mt	OnlineB_review_cd+vinyl_23_5.conllu	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0.744	0.63	0.163	0.438	80
hr	mt	OnlineB_review_cd+vinyl_25_5.conllu	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0.77	0.672	0.213	0.52	61
